21:30:13:785 [ALWAYS]	GUDE Logging Started
21:30:13:792 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:30:13:792 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:30:13:792 [ERROR]	Initialize resume cache pointer failure
21:30:13:792 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:30:13:792 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:30:19:724 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:30:19:724 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:30:19:724 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:30:19:725 [ERROR]	Initialize resume cache pointer failure
21:30:19:725 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:30:19:725 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
